,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_casa_wind_wf-20200817T053729Z_0_condorpool,auxiliary,0,1621115022.0,,,1621115026.0,1621115028.0,1621115036.0,1621115036.0,1621115041.0,4.0,,2.0,8.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
gunzip_ID0000016,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115087.0,1621115087.0,1621115092.0,6.0,,21.0,19.0,5.0,3.0,13909558.0,8.0,25879224.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,ftworth.tx-20170329-073351.netcdf.gz,0.4,0,0
gunzip_ID0000005,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115087.0,1621115087.0,1621115092.0,6.0,,21.0,19.0,5.0,3.0,14015563.0,8.0,25879224.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,ftworth.tx-20170329-073311.netcdf.gz,0.4,0,0
gunzip_ID0000017,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115087.0,1621115087.0,1621115092.0,6.0,,21.0,19.0,5.0,3.0,11427287.0,9.0,23863644.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,arlington.tx-20170329-073354.netcdf.gz,0.3,0,0
gunzip_ID0000006,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115087.0,1621115087.0,1621115092.0,6.0,,21.0,19.0,5.0,3.0,11356855.0,9.0,23863644.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,arlington.tx-20170329-073314.netcdf.gz,0.3,0,0
gunzip_ID0000007,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115082.0,1621115082.0,1621115087.0,6.0,,21.0,14.0,5.0,3.0,1256340.0,7.0,5205708.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,cleburne.tx-20170329-073325.netcdf.gz,0.0,0,0
gunzip_ID0000012,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115087.0,1621115087.0,1621115092.0,6.0,,21.0,19.0,5.0,4.0,11444563.0,9.0,23863644.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,arlington.tx-20170329-073334.netcdf.gz,0.3,0,0
gunzip_ID0000001,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115082.0,1621115082.0,1621115087.0,6.0,,21.0,14.0,5.0,3.0,4598281.0,8.0,14534020.0,panorama,condorpool,worker-2,gunzip,/bin/gunzip,denton.tx-20170329-073301.netcdf.gz,0.1,0,0
gunzip_ID0000013,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115082.0,1621115082.0,1621115087.0,6.0,,21.0,14.0,5.0,3.0,1561283.0,8.0,22147600.0,panorama,condorpool,worker-2,gunzip,/bin/gunzip,addison.tx-20170329-073337.netcdf.gz,0.1,0,0
gunzip_ID0000008,compute,0,1621115041.0,,,1621115047.0,1621115068.0,1621115087.0,1621115087.0,1621115092.0,6.0,,21.0,19.0,5.0,3.0,12085660.0,9.0,23500000.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,midlothian.tx-20170329-073327.netcdf.gz,0.3,0,0
