,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_casa_wind_wf-20200817T052029Z_0_condorpool,auxiliary,0,1621380265.0,,,1621380270.0,1621380271.0,1621380275.0,1621380275.0,1621380280.0,5.0,,1.0,4.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
gunzip_ID0000016,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,12970105.0,9.0,25844256.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,ftworth.tx-20170329-071651.netcdf.gz,0.3,0,0
gunzip_ID0000005,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,10606495.0,9.0,24347964.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,mesquite.tx-20170329-071607.netcdf.gz,0.3,0,0
gunzip_ID0000017,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,11615829.0,9.0,23863644.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,arlington.tx-20170329-071654.netcdf.gz,0.3,0,0
gunzip_ID0000006,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,12903369.0,9.0,25879224.0,panorama,condorpool,worker-2,gunzip,/bin/gunzip,ftworth.tx-20170329-071611.netcdf.gz,0.3,0,0
gunzip_ID0000018,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,2.0,1147674.0,9.0,22147600.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,addison.tx-20170329-071658.netcdf.gz,0.1,0,0
gunzip_ID0000008,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,1114762.0,9.0,5205708.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,cleburne.tx-20170329-071625.netcdf.gz,0.0,0,0
gunzip_ID0000012,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,12909647.0,9.0,25844256.0,panorama,condorpool,worker-3,gunzip,/bin/gunzip,ftworth.tx-20170329-071631.netcdf.gz,0.3,0,0
gunzip_ID0000001,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380320.0,1621380320.0,1621380325.0,5.0,,22.0,13.0,5.0,2.0,1048406.0,8.0,22147600.0,panorama,condorpool,worker-2,gunzip,/bin/gunzip,addison.tx-20170329-071600.netcdf.gz,0.1,0,0
gunzip_ID0000007,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,4.0,11623438.0,8.0,23895932.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,arlington.tx-20170329-071615.netcdf.gz,0.3,0,0
gunzip_ID0000002,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,4761532.0,8.0,14513920.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,denton.tx-20170329-071601.netcdf.gz,0.1,0,0
gunzip_ID0000013,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,11634951.0,9.0,23863644.0,panorama,condorpool,worker-1,gunzip,/bin/gunzip,arlington.tx-20170329-071635.netcdf.gz,0.3,0,0
gunzip_ID0000011,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380320.0,1621380320.0,1621380325.0,5.0,,22.0,13.0,5.0,3.0,4600272.0,8.0,14534020.0,panorama,condorpool,worker-0,gunzip,/bin/gunzip,denton.tx-20170329-071627.netcdf.gz,0.1,0,0
gunzip_ID0000010,compute,0,1621380280.0,,,1621380285.0,1621380307.0,1621380325.0,1621380325.0,1621380330.0,5.0,,22.0,18.0,5.0,3.0,10672228.0,9.0,24347964.0,panorama,condorpool,worker-4,gunzip,/bin/gunzip,mesquite.tx-20170329-071627.netcdf.gz,0.3,0,0
