,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200521T193903Z_0_condorpool,auxiliary,0,1590131162.0,,,1590131167.0,1590131167.0,1590131172.0,1590131172.0,1590131177.0,5.0,,0.0,5.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.3,0,0
sifting_ID0000024,compute,0,1590131177.0,,,1590131184.0,1590131485.0,1590131796.0,1590131796.0,1590131802.0,7.0,,301.0,311.0,6.0,298.0,1708157176.0,4.0,1365482.0,panorama,condorpool,worker-2,sifting,/var/lib/condor/execute/dir_19530/pegasus.xlYHQdmAD/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.8,0,0
sifting_ID0000012,compute,0,1590131177.0,,,1590131184.0,1590131484.0,1590131770.0,1590131770.0,1590131775.0,7.0,,300.0,286.0,5.0,274.0,1580479763.0,4.0,2126612.0,panorama,condorpool,worker-3,sifting,/var/lib/condor/execute/dir_30988/pegasus.GH01iYQkU/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,1.8,0,0
individuals_ID0000021,compute,0,1590131177.0,,,1590131184.0,1590131204.0,1590131485.0,1590131485.0,1590131490.0,7.0,,20.0,281.0,5.0,217.0,1014251457.0,4.0,19965.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_23287/pegasus.q5ytUoU3d/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,62.9,0,0
individuals_ID0000010,compute,0,1590131177.0,,,1590131184.0,1590131204.0,1590131510.0,1590131510.0,1590131520.0,7.0,,20.0,306.0,10.0,222.0,1014280442.0,4.0,20009.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_16118/pegasus.owaYIBJ0m/individuals,ALL.chr1.100000.vcf   1   9001   10001   10000,63.2,0,0
individuals_ID0000020,compute,0,1590131177.0,,,1590131184.0,1590131205.0,1590131510.0,1590131510.0,1590131525.0,7.0,,21.0,305.0,15.0,229.0,1014251457.0,4.0,19955.0,panorama,condorpool,worker-5,individuals,/var/lib/condor/execute/dir_27156/pegasus.p8rbx74wL/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,60.5,0,0
individuals_ID0000009,compute,0,1590131177.0,,,1590131184.0,1590131205.0,1590131510.0,1590131510.0,1590131520.0,7.0,,21.0,305.0,10.0,228.0,1014280442.0,3.0,20018.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_2100/pegasus.NRYIosXzk/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,61.7,0,0
individuals_ID0000019,compute,0,1590131177.0,,,1590131184.0,1590131205.0,1590131510.0,1590131510.0,1590131520.0,7.0,,21.0,305.0,10.0,228.0,1014251457.0,4.0,19980.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_29236/pegasus.FoHXfFRxW/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,62.0,0,0
individuals_ID0000014,compute,0,1590131177.0,,,1590131183.0,1590131204.0,1590131505.0,1590131505.0,1590131520.0,6.0,,21.0,301.0,15.0,217.0,1014251457.0,3.0,20033.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_16115/pegasus.hCYxr1DOJ/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,63.4,0,0
individuals_ID0000003,compute,0,1590131177.0,,,1590131183.0,1590131204.0,1590131505.0,1590131505.0,1590131520.0,6.0,,21.0,301.0,15.0,218.0,1014280442.0,4.0,20008.0,panorama,condorpool,worker-5,individuals,/var/lib/condor/execute/dir_27152/pegasus.5vzj0MYrv/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,60.1,0,0
individuals_ID0000013,compute,0,1590131177.0,,,1590131183.0,1590131204.0,1590131505.0,1590131505.0,1590131520.0,6.0,,21.0,301.0,15.0,221.0,1014251457.0,3.0,20048.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_2096/pegasus.0FWCvUDUE/individuals,ALL.chr2.100000.vcf   2   1   1001   10000,61.4,0,0
individuals_ID0000008,compute,0,1590131177.0,,,1590131183.0,1590131205.0,1590131500.0,1590131500.0,1590131505.0,6.0,,22.0,295.0,5.0,215.0,1014280442.0,3.0,19998.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_23286/pegasus.zaE2pty8E/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,62.3,0,0
individuals_ID0000001,compute,0,1590131177.0,,,1590131183.0,1590131204.0,1590131500.0,1590131500.0,1590131505.0,6.0,,21.0,296.0,5.0,212.0,1014280442.0,3.0,20013.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_23284/pegasus.JnhqPHcrs/individuals,ALL.chr1.100000.vcf   1   1   1001   10000,61.6,0,0
individuals_ID0000004,compute,0,1590131177.0,,,1590131182.0,1590131203.0,1590131490.0,1590131490.0,1590131495.0,5.0,,21.0,287.0,5.0,225.0,1014280442.0,3.0,19915.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_29229/pegasus.PgpZ1H2tZ/individuals,ALL.chr1.100000.vcf   1   3001   4001   10000,64.0,0,0
individuals_ID0000002,compute,0,1590131177.0,,,1590131183.0,1590131204.0,1590131515.0,1590131515.0,1590131525.0,6.0,,21.0,311.0,10.0,233.0,1014280442.0,3.0,19964.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_29234/pegasus.wy42NtFsV/individuals,ALL.chr1.100000.vcf   1   1001   2001   10000,61.7,0,0
individuals_ID0000005,compute,0,1590131177.0,,,1590131182.0,1590131204.0,1590131505.0,1590131505.0,1590131520.0,5.0,,22.0,301.0,15.0,218.0,1014280442.0,3.0,19976.0,panorama,condorpool,worker-5,individuals,/var/lib/condor/execute/dir_27150/pegasus.DdFMZ6KOu/individuals,ALL.chr1.100000.vcf   1   4001   5001   10000,59.8,0,0
individuals_ID0000016,compute,0,1590131177.0,,,1590131182.0,1590131204.0,1590131495.0,1590131495.0,1590131500.0,5.0,,22.0,291.0,5.0,215.0,1014251457.0,3.0,19976.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_16109/pegasus.SlQciVIJL/individuals,ALL.chr2.100000.vcf   2   3001   4001   10000,63.3,0,0
individuals_ID0000006,compute,0,1590131177.0,,,1590131182.0,1590131204.0,1590131505.0,1590131505.0,1590131515.0,5.0,,22.0,301.0,10.0,221.0,1014280442.0,4.0,19978.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_23281/pegasus.yfolZOp3a/individuals,ALL.chr1.100000.vcf   1   5001   6001   10000,62.2,0,0
individuals_ID0000015,compute,0,1590131177.0,,,1590131182.0,1590131203.0,1590131505.0,1590131505.0,1590131520.0,5.0,,21.0,302.0,15.0,230.0,1014251457.0,4.0,20035.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_2090/pegasus.tlzg456vV/individuals,ALL.chr2.100000.vcf   2   2001   3001   10000,61.5,0,0
