,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200616T174351Z_0_condorpool,auxiliary,0,1592363096.0,,,1592363100.0,1592363101.0,1592363105.0,1592363105.0,1592363110.0,4.0,,1.0,4.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.3,0,0
sifting_ID0000024,compute,0,1592363110.0,,,1592363118.0,1592363293.0,1592363348.0,1592363348.0,1592363353.0,8.0,,175.0,55.0,5.0,40.0,1708157176.0,4.0,1365482.0,panorama,condorpool,worker-2,sifting,/var/lib/condor/execute/dir_29663/pegasus.EGmhMG13G/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.8,0,0
sifting_ID0000012,compute,0,1592363110.0,,,1592363118.0,1592363264.0,1592363343.0,1592363343.0,1592363348.0,8.0,,146.0,79.0,5.0,66.0,1580479763.0,3.0,2126612.0,panorama,condorpool,worker-5,sifting,/var/lib/condor/execute/dir_8273/pegasus.7mmCZ0HCK/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,1.8,0,0
individuals_ID0000021,compute,0,1592363110.0,,,1592363118.0,1592363123.0,1592363368.0,1592363368.0,1592363384.0,8.0,,5.0,245.0,16.0,170.0,1014251457.0,3.0,19905.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_1930/pegasus.HEaw4myDV/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,62.6,0,0
individuals_ID0000020,compute,0,1592363110.0,,,1592363117.0,1592363123.0,1592363369.0,1592363369.0,1592363384.0,7.0,,6.0,246.0,15.0,175.0,1014251457.0,3.0,19983.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_9991/pegasus.Sdh7Iv5ro/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,62.3,0,0
individuals_ID0000009,compute,0,1592363110.0,,,1592363117.0,1592363122.0,1592363374.0,1592363374.0,1592363389.0,7.0,,5.0,252.0,15.0,166.0,1014280442.0,3.0,19919.0,panorama,condorpool,worker-5,individuals,/var/lib/condor/execute/dir_32333/pegasus.Irb6CR2k1/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,62.0,0,0
individuals_ID0000019,compute,0,1592363110.0,,,1592363117.0,1592363123.0,1592363368.0,1592363368.0,1592363379.0,7.0,,6.0,245.0,11.0,171.0,1014251457.0,4.0,19938.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_21318/pegasus.bMMdS5Rbt/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,62.9,0,0
individuals_ID0000008,compute,0,1592363110.0,,,1592363117.0,1592363123.0,1592363369.0,1592363369.0,1592363384.0,7.0,,6.0,246.0,15.0,169.0,1014280442.0,3.0,19986.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_14659/pegasus.LAOoYa5bk/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,61.1,0,0
individuals_ID0000014,compute,0,1592363110.0,,,1592363117.0,1592363122.0,1592363368.0,1592363368.0,1592363384.0,7.0,,5.0,246.0,16.0,168.0,1014251457.0,3.0,19958.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_9987/pegasus.Al1EW7AHM/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,62.3,0,0
individuals_ID0000003,compute,0,1592363110.0,,,1592363117.0,1592363122.0,1592363363.0,1592363363.0,1592363368.0,7.0,,5.0,241.0,5.0,165.0,1014280442.0,3.0,19896.0,panorama,condorpool,worker-5,individuals,/var/lib/condor/execute/dir_32329/pegasus.ofKtuxDt6/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,63.0,0,0
individuals_ID0000013,compute,0,1592363110.0,,,1592363117.0,1592363123.0,1592363368.0,1592363368.0,1592363384.0,7.0,,6.0,245.0,16.0,169.0,1014251457.0,3.0,19960.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_21314/pegasus.t4wr7I7hG/individuals,ALL.chr2.100000.vcf   2   1   1001   10000,62.7,0,0
individuals_ID0000010,compute,0,1592363110.0,,,1592363118.0,1592363123.0,1592363368.0,1592363368.0,1592363384.0,8.0,,5.0,245.0,16.0,167.0,1014280442.0,3.0,19933.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_14664/pegasus.vWExxPDMI/individuals,ALL.chr1.100000.vcf   1   9001   10001   10000,60.8,0,0
individuals_ID0000001,compute,0,1592363110.0,,,1592363116.0,1592363123.0,1592363374.0,1592363374.0,1592363384.0,6.0,,7.0,251.0,10.0,171.0,1014280442.0,3.0,19961.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_14655/pegasus.XnMWZTztn/individuals,ALL.chr1.100000.vcf   1   1   1001   10000,61.0,0,0
individuals_ID0000002,compute,0,1592363110.0,,,1592363117.0,1592363123.0,1592363368.0,1592363368.0,1592363384.0,7.0,,6.0,245.0,16.0,169.0,1014280442.0,3.0,19924.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_1927/pegasus.rx5W5U5R4/individuals,ALL.chr1.100000.vcf   1   1001   2001   10000,62.8,0,0
