,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200520T031010Z_0_condorpool,auxiliary,0,1589964499.0,,,1589964503.0,1589964504.0,1589964508.0,1589964508.0,1589964513.0,4.0,,1.0,4.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.3,0,0
sifting_ID0000024,compute,0,1589964513.0,,,1589964520.0,1589964735.0,1589964785.0,1589964785.0,1589964790.0,7.0,,215.0,50.0,5.0,39.0,1708157176.0,3.0,1365482.0,panorama,condorpool,worker-1,sifting,/var/lib/condor/execute/dir_1892/pegasus.vTI0YVod7/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.9,0,0
sifting_ID0000012,compute,0,1589964513.0,,,1589964520.0,1589964728.0,1589964775.0,1589964775.0,1589964780.0,7.0,,208.0,47.0,5.0,34.0,1580479763.0,3.0,2126612.0,panorama,condorpool,worker-2,sifting,/var/lib/condor/execute/dir_1273/pegasus.Dg5UAAQ0S/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,1.9,0,0
individuals_ID0000021,compute,0,1589964513.0,,,1589964520.0,1589964525.0,1589964765.0,1589964765.0,1589964770.0,7.0,,5.0,240.0,5.0,160.0,1014251457.0,4.0,20014.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_21974/pegasus.onU1b69Z7/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,62.4,0,0
individuals_ID0000020,compute,0,1589964513.0,,,1589964520.0,1589964525.0,1589964780.0,1589964780.0,1589964790.0,7.0,,5.0,255.0,10.0,169.0,1014251457.0,3.0,20044.0,panorama,condorpool,worker-5,individuals,/var/lib/condor/execute/dir_19478/pegasus.MFTRRUoXw/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,60.6,0,0
individuals_ID0000009,compute,0,1589964513.0,,,1589964519.0,1589964525.0,1589964765.0,1589964765.0,1589964770.0,6.0,,6.0,240.0,5.0,158.0,1014280442.0,3.0,19973.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_9390/pegasus.2IrUX3gxx/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,63.0,0,0
individuals_ID0000019,compute,0,1589964513.0,,,1589964519.0,1589964526.0,1589964775.0,1589964775.0,1589964785.0,6.0,,7.0,249.0,10.0,173.0,1014251457.0,3.0,19972.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_31272/pegasus.ekFUxklfE/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,63.2,0,0
individuals_ID0000008,compute,0,1589964513.0,,,1589964519.0,1589964524.0,1589964760.0,1589964760.0,1589964765.0,6.0,,5.0,236.0,5.0,168.0,1014280442.0,4.0,20033.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_21970/pegasus.wmMLa1G7R/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,63.2,0,0
individuals_ID0000014,compute,0,1589964513.0,,,1589964519.0,1589964525.0,1589964770.0,1589964770.0,1589964780.0,6.0,,6.0,245.0,10.0,165.0,1014251457.0,4.0,20043.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_3918/pegasus.OdlvU02uq/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,63.6,0,0
individuals_ID0000003,compute,0,1589964513.0,,,1589964519.0,1589964525.0,1589964775.0,1589964775.0,1589964785.0,6.0,,6.0,250.0,10.0,169.0,1014280442.0,4.0,20023.0,panorama,condorpool,worker-5,individuals,/var/lib/condor/execute/dir_19474/pegasus.TNM5OEFuS/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,60.4,0,0
individuals_ID0000013,compute,0,1589964513.0,,,1589964519.0,1589964525.0,1589964770.0,1589964770.0,1589964780.0,6.0,,6.0,245.0,10.0,165.0,1014251457.0,3.0,19957.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_9386/pegasus.yMVTAOVXG/individuals,ALL.chr2.100000.vcf   2   1   1001   10000,62.6,0,0
individuals_ID0000010,compute,0,1589964513.0,,,1589964520.0,1589964525.0,1589964770.0,1589964770.0,1589964780.0,7.0,,5.0,245.0,10.0,164.0,1014280442.0,4.0,20060.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_3922/pegasus.pivVCBBdS/individuals,ALL.chr1.100000.vcf   1   9001   10001   10000,63.5,0,0
individuals_ID0000001,compute,0,1589964513.0,,,1589964519.0,1589964525.0,1589964770.0,1589964770.0,1589964780.0,6.0,,6.0,245.0,10.0,163.0,1014280442.0,3.0,20038.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_21967/pegasus.6GgHMq9Fr/individuals,ALL.chr1.100000.vcf   1   1   1001   10000,62.2,0,0
individuals_ID0000002,compute,0,1589964513.0,,,1589964519.0,1589964525.0,1589964770.0,1589964770.0,1589964780.0,6.0,,6.0,245.0,10.0,163.0,1014280442.0,4.0,19983.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_31268/pegasus.4plxakJac/individuals,ALL.chr1.100000.vcf   1   1001   2001   10000,62.5,0,0
individuals_ID0000004,compute,0,1589964513.0,,,1589964518.0,1589964524.0,1589964730.0,1589964730.0,1589964735.0,5.0,,6.0,206.0,5.0,155.0,1014280442.0,3.0,19829.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_9380/pegasus.lZEYsY4RU/individuals,ALL.chr1.100000.vcf   1   3001   4001   10000,64.7,0,0
individuals_ID0000005,compute,0,1589964513.0,,,1589964518.0,1589964524.0,1589964780.0,1589964780.0,1589964790.0,5.0,,6.0,256.0,10.0,183.0,1014280442.0,3.0,20043.0,panorama,condorpool,worker-5,individuals,/var/lib/condor/execute/dir_19468/pegasus.OxLk11bSm/individuals,ALL.chr1.100000.vcf   1   4001   5001   10000,60.7,0,0
