,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200926T223304Z_0_condorpool,auxiliary,0,1601167721.0,,,1601167725.0,1601167727.0,1601167735.0,1601167735.0,1601167740.0,4.0,,2.0,8.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
sifting_ID0000024,compute,0,1601167740.0,,,1601167745.0,1601168035.0,1601168080.0,1601168080.0,1601168085.0,5.0,,290.0,45.0,5.0,32.0,1708157176.0,4.0,1365482.0,panorama,condorpool,worker-0,sifting,/var/lib/condor/execute/dir_3737/pegasus.qJhHHGFEA/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.9,0,0
sifting_ID0000012,compute,0,1601167740.0,,,1601167745.0,1601168012.0,1601168045.0,1601168045.0,1601168050.0,5.0,,267.0,33.0,5.0,19.0,1580479763.0,4.0,2126612.0,panorama,condorpool,worker-1,sifting,/var/lib/condor/execute/dir_19909/pegasus.b0h8o4Shd/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,2.0,0,0
individuals_ID0000021,compute,0,1601167740.0,,,1601167745.0,1601167764.0,1601168065.0,1601168065.0,1601168070.0,5.0,,19.0,301.0,5.0,169.0,1014251457.0,6.0,28427.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_14885/pegasus.w8WVVIwBV/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,52.3,0,0
individuals_ID0000020,compute,0,1601167740.0,,,1601167745.0,1601167763.0,1601168065.0,1601168065.0,1601168070.0,5.0,,18.0,302.0,5.0,159.0,1014251457.0,5.0,28548.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_32130/pegasus.jDbvDpFKI/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,57.9,0,0
individuals_ID0000009,compute,0,1601167740.0,,,1601167745.0,1601167763.0,1601168090.0,1601168090.0,1601168100.0,5.0,,18.0,327.0,10.0,171.0,1014280442.0,5.0,28643.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_29574/pegasus.hGE4nLubD/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,64.5,0,0
individuals_ID0000019,compute,0,1601167740.0,,,1601167745.0,1601167763.0,1601168060.0,1601168060.0,1601168065.0,5.0,,18.0,297.0,5.0,159.0,1014251457.0,5.0,28594.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_32128/pegasus.D5CXnqYQH/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,57.9,0,0
individuals_ID0000008,compute,0,1601167740.0,,,1601167745.0,1601167764.0,1601168070.0,1601168070.0,1601168075.0,5.0,,19.0,306.0,5.0,172.0,1014280442.0,6.0,28459.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_14881/pegasus.DTddF5mfU/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,52.6,0,0
individuals_ID0000014,compute,0,1601167740.0,,,1601167745.0,1601167763.0,1601168090.0,1601168090.0,1601168100.0,5.0,,18.0,327.0,10.0,172.0,1014251457.0,5.0,28693.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_29572/pegasus.5Qz6xkRXL/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,64.4,0,0
individuals_ID0000003,compute,0,1601167740.0,,,1601167745.0,1601167763.0,1601168090.0,1601168090.0,1601168100.0,5.0,,18.0,327.0,10.0,176.0,1014280442.0,4.0,28668.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_8261/pegasus.48QUCRvLx/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,63.8,0,0
