,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200923T161044Z_0_condorpool,auxiliary,0,1600877446.0,,,1600877450.0,1600877452.0,1600877460.0,1600877460.0,1600877465.0,4.0,,2.0,8.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
sifting_ID0000024,compute,0,1600877465.0,,,1600877471.0,1600877688.0,1600877757.0,1600877757.0,1600877762.0,6.0,,217.0,69.0,5.0,57.0,1708157176.0,5.0,1365482.0,panorama,condorpool,worker-4,sifting,/var/lib/condor/execute/dir_23549/pegasus.BoD02FkRr/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.9,0,0
sifting_ID0000012,compute,0,1600877465.0,,,1600877471.0,1600877688.0,1600877757.0,1600877757.0,1600877762.0,6.0,,217.0,69.0,5.0,54.0,1580479763.0,5.0,2126612.0,panorama,condorpool,worker-4,sifting,/var/lib/condor/execute/dir_23392/pegasus.1D12ebmdJ/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,2.1,0,0
individuals_ID0000021,compute,0,1600877465.0,,,1600877471.0,1600877489.0,1600877736.0,1600877736.0,1600877746.0,6.0,,18.0,247.0,10.0,174.0,1014251457.0,6.0,27966.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_13679/pegasus.H5GBAlOrI/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,55.9,0,0
individuals_ID0000020,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877741.0,1600877741.0,1600877746.0,6.0,,17.0,253.0,5.0,172.0,1014251457.0,7.0,27960.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_6336/pegasus.9eWpAqudS/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,70.0,0,0
individuals_ID0000009,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877731.0,1600877731.0,1600877736.0,6.0,,17.0,243.0,5.0,162.0,1014280442.0,6.0,27807.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_6334/pegasus.9JScsTzbd/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,69.9,0,0
individuals_ID0000019,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877736.0,1600877736.0,1600877746.0,6.0,,17.0,248.0,10.0,174.0,1014251457.0,5.0,27971.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_13673/pegasus.O5E4gdOZG/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,55.8,0,0
individuals_ID0000008,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877751.0,1600877751.0,1600877757.0,6.0,,17.0,263.0,6.0,174.0,1014280442.0,5.0,28102.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_14962/pegasus.L56WCmeiG/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,62.5,0,0
individuals_ID0000014,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877736.0,1600877736.0,1600877746.0,6.0,,17.0,248.0,10.0,166.0,1014251457.0,5.0,28099.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_5037/pegasus.MTI4UwdMJ/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,68.4,0,0
individuals_ID0000003,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877746.0,1600877746.0,1600877751.0,6.0,,17.0,258.0,5.0,168.0,1014280442.0,5.0,28194.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_14959/pegasus.eMxblV0fm/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,62.5,0,0
individuals_ID0000013,compute,0,1600877465.0,,,1600877471.0,1600877489.0,1600877736.0,1600877736.0,1600877746.0,6.0,,18.0,247.0,10.0,172.0,1014251457.0,4.0,28085.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_4962/pegasus.aNe2bFnsp/individuals,ALL.chr2.100000.vcf   2   1   1001   10000,68.0,0,0
individuals_ID0000010,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877686.0,1600877686.0,1600877691.0,6.0,,17.0,198.0,5.0,126.0,1014280442.0,5.0,27909.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_6341/pegasus.71sL8Pe1w/individuals,ALL.chr1.100000.vcf   1   9001   10001   10000,69.5,0,0
individuals_ID0000001,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877736.0,1600877736.0,1600877746.0,6.0,,17.0,248.0,10.0,167.0,1014280442.0,4.0,27956.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_5036/pegasus.y541IKxwo/individuals,ALL.chr1.100000.vcf   1   1   1001   10000,68.2,0,0
individuals_ID0000002,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877721.0,1600877721.0,1600877726.0,6.0,,17.0,233.0,5.0,162.0,1014280442.0,6.0,27904.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_13669/pegasus.6NUomTjAF/individuals,ALL.chr1.100000.vcf   1   1001   2001   10000,56.1,0,0
individuals_ID0000004,compute,0,1600877465.0,,,1600877471.0,1600877488.0,1600877736.0,1600877736.0,1600877746.0,6.0,,17.0,248.0,10.0,173.0,1014280442.0,6.0,27931.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_13668/pegasus.oHBmMBxZ9/individuals,ALL.chr1.100000.vcf   1   3001   4001   10000,56.0,0,0
individuals_ID0000005,compute,0,1600877465.0,,,1600877471.0,1600877487.0,1600877716.0,1600877716.0,1600877721.0,6.0,,16.0,229.0,5.0,150.0,1014280442.0,4.0,27756.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_4953/pegasus.GsDDUnA5k/individuals,ALL.chr1.100000.vcf   1   4001   5001   10000,69.6,0,0
individuals_ID0000016,compute,0,1600877465.0,,,1600877471.0,1600877487.0,1600877691.0,1600877691.0,1600877696.0,6.0,,16.0,204.0,5.0,127.0,1014251457.0,5.0,27984.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_6333/pegasus.H0LAYwFY1/individuals,ALL.chr2.100000.vcf   2   3001   4001   10000,69.8,0,0
individuals_ID0000015,compute,0,1600877465.0,,,1600877471.0,1600877487.0,1600877701.0,1600877701.0,1600877706.0,6.0,,16.0,214.0,5.0,140.0,1014251457.0,5.0,27600.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_5028/pegasus.3NCSyiJni/individuals,ALL.chr2.100000.vcf   2   2001   3001   10000,70.4,0,0
individuals_ID0000017,compute,0,1600877465.0,,,1600877471.0,1600877487.0,1600877711.0,1600877711.0,1600877716.0,6.0,,16.0,224.0,5.0,144.0,1014251457.0,4.0,27662.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_4954/pegasus.IAu32aLGe/individuals,ALL.chr2.100000.vcf   2   4001   5001   10000,69.7,0,0
